0.33	0.01	0.08	0.68	0.21	0.98	0.72	0.64	0.30	0.30	0.58	0.56	0.85	0.59	0.02	0.18	0.14	0.41	0.54
0.86	0.24	0.49	0.94	0.71	0.04	0.37	0.55	0.72	0.14	0.16	0.60	0.45	0.77	0.98	0.65	0.03	0.56	0.86
0.56	0.59	0.02	0.35	0.15	0.44	0.81	0.23	0.93	0.65	0.66	0.09	0.52	0.98	0.78	0.22	0.15	0.15	0.39
0.55	0.07	0.01	0.97	0.21	0.28	0.53	0.89	0.26	0.88	0.46	0.50	0.54	0.66	0.45	0.61	0.86	0.04	0.05
0.25	0.20	0.26	0.68	0.80	0.59	0.50	0.51	0.40	0.83	0.33	0.84	0.98	0.06	0.17	0.14	0.02	0.42	0.94
0.11	0.33	0.10	0.90	0.01	0.92	0.26	0.43	0.38	0.62	0.96	0.74	0.42	0.03	0.44	0.75	0.56	0.40	0.66
0.68	0.97	0.31	0.89	0.68	0.60	0.92	0.77	0.59	0.48	0.67	0.16	0.44	0.20	0.11	0.06	0.02	0.31	0.88
0.74	0.39	0.79	0.18	0.56	0.36	0.67	0.35	0.39	0.85	0.22	0.01	0.36	0.81	0.59	0.48	0.94	0.76	0.63
0.49	0.23	0.89	0.16	0.62	0.28	0.85	0.34	0.25	0.66	0.61	0.09	0.02	0.42	0.53	0.69	0.74	0.02	0.39
0.27	0.25	0.42	0.51	0.41	0.68	0.82	0.07	0.09	0.66	0.61	0.84	0.36	0.23	0.97	0.63	0.53	0.74	0.88
